"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATASTEEL","EQ","15-May-2025","155.31","155.50","157.84","154.30","157.19","157.35","156.79","5,70,66,105","8,94,72,11,738.95","2,73,956","2,45,48,816","43.02"
"TATASTEEL","EQ","16-May-2025","157.35","157.35","158.15","157.00","157.40","157.55","157.53","2,28,84,754","3,60,49,83,002.25","1,62,033","99,99,932","43.70"
"TATASTEEL","EQ","19-May-2025","157.55","158.00","158.14","156.13","157.25","157.57","157.15","2,18,39,582","3,43,21,07,324.54","1,38,964","1,01,30,837","46.39"
"TATASTEEL","EQ","20-May-2025","157.57","158.35","162.10","158.00","159.59","158.69","159.87","5,80,61,639","9,28,25,78,000.22","2,71,597","2,47,53,673","42.63"
"TATASTEEL","EQ","21-May-2025","158.69","159.45","161.85","158.53","161.75","161.64","160.74","3,60,44,599","5,79,36,34,967.30","2,21,401","1,87,69,866","52.07"
"TATASTEEL","EQ","22-May-2025","161.64","160.98","163.60","160.36","161.50","161.29","162.03","6,07,15,453","9,83,76,42,663.43","2,62,828","3,53,37,633","58.20"
"TATASTEEL","EQ","23-May-2025","161.29","161.60","163.53","161.50","163.10","162.97","162.62","2,94,83,665","4,79,46,11,681.16","1,83,753","1,69,43,736","57.47"
"TATASTEEL","EQ","26-May-2025","162.97","163.10","165.55","162.05","162.37","162.51","163.34","2,55,81,584","4,17,85,34,087.15","1,64,313","87,12,332","34.06"
"TATASTEEL","EQ","27-May-2025","162.51","162.51","163.90","160.62","161.76","161.66","162.06","2,32,96,776","3,77,55,35,758.64","1,77,933","82,26,302","35.31"
"TATASTEEL","EQ","28-May-2025","161.66","162.40","162.69","160.65","161.06","161.24","161.30","1,30,44,476","2,10,40,98,511.17","91,891","46,15,303","35.38"
"TATASTEEL","EQ","29-May-2025","161.24","162.19","163.95","161.50","163.15","163.12","162.87","2,64,55,081","4,30,87,11,010.73","1,92,455","1,12,32,275","42.46"
"TATASTEEL","EQ","30-May-2025","163.12","163.11","163.89","160.51","161.00","161.02","161.30","3,27,39,340","5,28,07,69,846.88","1,51,091","2,04,34,630","62.42"
"TATASTEEL","EQ","02-Jun-2025","161.02","159.00","160.12","157.30","159.12","159.04","158.87","3,13,65,564","4,98,30,82,554.34","1,69,213","1,60,69,335","51.23"
"TATASTEEL","EQ","03-Jun-2025","159.04","159.04","160.65","157.17","157.39","157.35","158.36","2,83,98,746","4,49,71,79,711.39","1,56,056","1,66,61,984","58.67"
"TATASTEEL","EQ","04-Jun-2025","157.35","157.50","158.98","156.81","158.40","158.18","158.01","1,66,60,138","2,63,25,49,264.24","1,29,263","88,56,355","53.16"
"TATASTEEL","EQ","05-Jun-2025","158.18","158.86","159.09","157.05","158.05","157.97","157.93","2,37,08,504","3,74,43,25,538.10","1,22,241","1,26,33,200","53.29"
"TATASTEEL","EQ","06-Jun-2025","157.97","155.70","157.88","154.25","157.55","157.49","156.38","2,58,04,151","4,03,52,14,926.14","1,33,400","96,15,928","37.27"
"TATASTEEL","EQ","09-Jun-2025","157.49","157.69","158.20","156.82","157.30","157.32","157.52","1,53,15,437","2,41,24,61,355.70","1,27,577","69,22,150","45.20"
"TATASTEEL","EQ","10-Jun-2025","157.32","158.00","159.30","155.50","155.65","155.68","156.87","2,27,64,080","3,57,09,61,629.98","1,32,605","99,36,816","43.65"
"TATASTEEL","EQ","11-Jun-2025","155.68","156.45","157.53","155.31","156.09","156.41","156.54","1,76,05,668","2,75,59,81,215.78","1,07,872","62,00,493","35.22"
"TATASTEEL","EQ","12-Jun-2025","156.41","156.00","156.26","151.85","152.60","152.89","153.46","2,78,46,151","4,27,33,15,865.00","1,65,106","1,42,24,462","51.08"
"TATASTEEL","EQ","13-Jun-2025","152.89","149.80","152.50","149.80","152.34","152.13","151.71","2,42,77,592","3,68,32,71,732.64","1,31,667","1,23,65,343","50.93"
"TATASTEEL","EQ","16-Jun-2025","152.13","152.01","154.50","150.84","154.10","154.17","153.22","1,61,88,193","2,48,03,18,213.73","1,19,308","68,31,702","42.20"
"TATASTEEL","EQ","17-Jun-2025","154.17","153.81","154.89","152.35","152.58","152.60","153.42","1,67,40,382","2,56,82,77,833.38","1,12,427","80,40,981","48.03"
"TATASTEEL","EQ","18-Jun-2025","152.60","152.20","153.20","150.80","152.00","152.11","151.99","1,48,60,746","2,25,87,49,524.45","91,669","64,10,182","43.13"
"TATASTEEL","EQ","19-Jun-2025","152.11","152.00","152.45","150.50","150.51","151.00","151.16","2,01,45,922","3,04,53,43,206.89","1,62,901","98,69,383","48.99"
"TATASTEEL","EQ","20-Jun-2025","151.00","150.75","153.17","150.63","151.70","151.97","152.01","2,99,44,714","4,55,19,25,313.29","1,18,765","2,00,66,589","67.01"
"TATASTEEL","EQ","23-Jun-2025","151.97","150.50","153.30","150.48","152.35","152.43","151.85","1,70,96,676","2,59,61,69,014.17","1,07,530","81,87,151","47.89"
"TATASTEEL","EQ","24-Jun-2025","152.43","153.80","156.97","153.64","155.03","154.79","155.29","2,54,03,324","3,94,49,49,688.49","1,68,818","1,02,43,096","40.32"
"TATASTEEL","EQ","25-Jun-2025","154.79","155.90","156.90","155.51","156.33","156.39","156.25","1,82,40,433","2,84,99,80,442.59","1,15,858","95,46,028","52.33"
"TATASTEEL","EQ","26-Jun-2025","156.39","156.87","161.10","156.45","160.40","160.54","158.90","4,06,50,557","6,45,91,90,605.70","2,00,746","1,85,09,427","45.53"
"TATASTEEL","EQ","27-Jun-2025","160.54","161.00","163.30","160.70","161.29","161.45","162.18","3,19,89,509","5,18,80,45,925.09","1,79,054","1,45,57,136","45.51"
"TATASTEEL","EQ","30-Jun-2025","161.45","160.99","162.20","159.50","159.80","159.76","160.62","1,58,42,285","2,54,45,27,360.88","1,43,198","68,63,504","43.32"
"TATASTEEL","EQ","01-Jul-2025","159.76","160.01","160.44","157.73","159.80","160.06","159.30","1,78,23,415","2,83,91,98,867.00","1,38,779","72,57,790","40.72"
"TATASTEEL","EQ","02-Jul-2025","160.06","160.06","166.15","159.83","165.95","165.88","164.17","6,33,15,210","10,39,45,30,770.33","2,58,609","2,84,20,200","44.89"
"TATASTEEL","EQ","03-Jul-2025","165.88","166.00","168.78","165.21","165.55","165.91","166.97","6,05,71,824","10,11,36,75,423.24","2,47,576","2,66,63,806","44.02"
"TATASTEEL","EQ","04-Jul-2025","165.91","165.91","166.49","162.00","163.10","163.01","163.37","2,29,38,753","3,74,75,36,836.05","1,67,118","83,70,911","36.49"
"TATASTEEL","EQ","07-Jul-2025","163.01","163.00","163.35","160.05","162.52","162.40","162.47","1,74,69,909","2,83,82,87,843.46","1,23,250","81,07,060","46.41"
"TATASTEEL","EQ","08-Jul-2025","162.40","162.45","162.90","161.60","161.90","161.97","162.03","1,13,98,248","1,84,68,07,797.96","81,709","64,76,866","56.82"
"TATASTEEL","EQ","09-Jul-2025","161.97","161.95","161.95","157.51","159.20","159.00","159.15","2,98,39,077","4,74,90,12,087.28","2,16,941","1,34,80,672","45.18"
"TATASTEEL","EQ","10-Jul-2025","159.00","160.00","161.55","159.28","160.63","160.66","160.44","1,75,66,887","2,81,84,00,050.43","1,34,347","58,19,910","33.13"
"TATASTEEL","EQ","11-Jul-2025","160.66","160.64","161.62","159.32","159.99","159.84","160.12","2,06,89,511","3,31,27,58,884.80","1,46,555","98,98,492","47.84"
