Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-July-2025,2437.55,2450.45,2399.45,2437.00,2426.460137316185889224,39034,4928,94714445.00,11016,28.22,51.00,-0.55
29-July-2025,2442.30,2457.35,2429.20,2453.75,2443.406956072944144970,34876,2696,85216261.00,20212,57.95,28.15,11.45
28-July-2025,2415.10,2448.00,2412.50,2442.25,2433.637104356001253525,15955,1639,38828680.00,7186,45.04,35.50,27.15
25-July-2025,2430.00,2430.00,2406.00,2415.10,2413.766239208783840415,23862,2436,57597290.00,13875,58.15,24.00,-14.90
24-July-2025,2451.75,2464.95,2420.40,2436.70,2437.637151265450264861,42475,4135,103538638.00,21701,51.09,44.55,-15.05
23-July-2025,2480.75,2484.00,2441.25,2451.35,2457.512596087982342644,26278,3414,64578516.00,13000,49.47,42.75,-29.40
22-July-2025,2474.15,2484.45,2454.00,2480.75,2469.653649011471808640,8194,946,20236342.00,3296,40.22,30.45,6.60
21-July-2025,2490.95,2492.85,2456.90,2464.70,2470.228577977145476572,30541,3104,75443251.00,19642,64.31,35.95,-26.25
18-July-2025,2510.00,2512.35,2481.10,2488.90,2490.992046515831651251,33193,3379,82683499.00,22690,68.36,31.25,-21.10
17-July-2025,2510.65,2525.00,2506.60,2510.30,2517.852718435627896462,17694,1523,44550886.00,10295,58.18,18.40,-0.35
16-July-2025,2526.30,2533.35,2508.25,2516.65,2521.956790577843209422,13585,1253,34260783.00,6643,48.90,25.10,-9.65
15-July-2025,2512.10,2529.90,2510.75,2526.30,2520.895466216453870774,28431,2913,71671579.00,12851,45.20,19.15,14.20
14-July-2025,2500.00,2532.10,2492.60,2516.25,2517.109856813428433528,335646,7045,844857855.00,291776,86.93,39.50,16.25
11-July-2025,2460.00,2530.00,2460.00,2520.10,2512.569302866833853537,443416,24957,1114113430.00,210762,47.53,70.00,60.10
10-July-2025,2422.65,2430.90,2398.65,2409.05,2416.274042971367311386,22387,1722,54093127.00,10995,49.11,32.25,-13.60
9-July-2025,2386.75,2439.70,2386.75,2422.65,2424.649720785529918640,101893,5580,247054834.00,39064,38.34,52.95,35.90
8-July-2025,2400.05,2417.00,2386.10,2393.00,2404.449867310493445337,50117,2948,120503814.00,13870,27.68,30.90,-7.05
7-July-2025,2344.80,2415.00,2343.00,2410.30,2393.885327606097499806,219303,13915,524986234.00,127371,58.08,72.00,65.50
4-July-2025,2321.45,2341.00,2312.20,2339.80,2330.676371839261357674,19062,1543,44427353.00,9601,50.37,28.80,18.35
3-July-2025,2296.40,2326.00,2296.40,2312.20,2319.191033162786624801,79939,2589,185393812.00,61056,76.38,29.60,15.80
